Company Name,Country,Europages URL,Company Website URL
PM PERA METAL CNC MECHANICAL PARTS,Turkey,https://www.europages.co.uk/PM-PERA-METAL-SANTICLTDSTI/00000005555355-001.html,https://www.perametal.com
AGS - CNC MACHINING UNIP. LDA,Portugal,https://www.europages.co.uk/AGS-CNC-MACHINING-UNIP-LDA/00000005504058-001.html,https://agsmachining.com/
BULUT CNC MACHINING,Turkey,https://www.europages.co.uk/BULUT-CNC-MACHINING/00000005488957-001.html,https://bulutcncmakina.com/portfoy/
KOVINSKI IZDELKI HRAST CNC TURNING,Slovenia,https://www.europages.co.uk/KOVINSKI-IZDELKI-HRAST-CNC-TURNING/00000003525283-59227001.html,http://www.kovinski-izdelki.si
UCES CNC MACHINING,Turkey,https://www.europages.co.uk/en/company/uces-cnc-machining-22284950,https://www.ucesmakina.com
CNC-STEP GMBH & CO. KG,Germany,https://www.europages.co.uk/CNCSTEP-GMBH-CO-KG/00000004732559-001.html,https://www.cnc-step.de/
"SHENZHEN PROMOSTAR HARDWARE CO.,LTD",Germany,https://www.europages.co.uk/SHENZHEN-PROMOSTAR-HARDWARE-COLTD/00000003905529-191714001.html,https://www.pshardware.com
YILDIZLAR KALIP PLAST KAUÇUK A.S.,Turkey,https://www.europages.co.uk/YILDIZLAR-KALIP-PLAST-KAUCUK-AS/00000005521036-001.html,https://www.yildizlarkalip.com
M-TECH SP. Z O.O.,Poland,https://www.europages.co.uk/MTECH-SP-Z-OO/00000005339241-001.html,https://www.m-tech.com.pl/
Frezamet Bis Sp. z o.o,Poland,https://www.europages.co.uk/en/company/frezamet-bis-sp-z-oo-22294309,https://frezamet-bis.com
Alsa Çözüm Metal San. ve Tic. A.Ş.,Turkey,https://www.europages.co.uk/en/company/alsa-coezuem-metal-san-ve-tic-a-22290705,https://en.alsacozum.com
GAI GIACOMO SRL,Italy,https://www.europages.co.uk/GAI-GIACOMO-SRL/00000003890035-181040001.html,http://www.gai-giacomo.com
"NINGBO TOWER INDUSTRY CO.,LTD",Ireland,https://www.europages.co.uk/NINGBO-TOWER-INDUSTRY-COLTD/00000005345723-001.html,https://www.tower-industry.com/
MEC PUIG,Spain,https://www.europages.co.uk/MEC-PUIG/00000005520907-001.html,https://www.mecpuig.com
VIRMER,Netherlands,https://www.europages.co.uk/VIRMER/00000005473907-001.html,https://virmer.com/?utm_source=europage
XUFENG TOOL TECH GROUP LIMITED,Germany,https://www.europages.co.uk/en/company/xufeng-tool-tech-group-limited-22264768,http://www.xfcncparts.com/
SZATUNAPLEX KFT.,Hungary,https://www.europages.co.uk/en/company/szatunaplex-kft-22278748,https://www.szatunaplex.hu
TECHNIC MACHINES,Turkey,https://www.europages.co.uk/TECHNIC-MACHINES/00000005519171-001.html,https://www.technicmachines.com
INOTECH MACHINING SRL,Romania,https://www.europages.co.uk/INOTECH-MACHINING-SRL/00000005547553-001.html,https://inotechmachining.com
MECALTEX MECANICA GERAL DE PRECISÃO LDA,Portugal,https://www.europages.co.uk/MECALTEX-MECANICA-GERAL-DE-PRECISAO-LDA/00000005450587-792200001.html,https://www.mecaltex.com
